"Primary Type","yearmo","count","year","month"
"NARCOTICS",Apr 2008,3527,2008,"Apr"
"ROBBERY",Apr 2008,1211,2008,"Apr"
"ASSAULT",May 2008,2494,2008,"May"
"BURGLARY",May 2008,2243,2008,"May"
"CRIMINAL TRESPASS",May 2008,994,2008,"May"
"MOTOR VEHICLE THEFT",May 2008,1541,2008,"May"
"NARCOTICS",May 2008,3699,2008,"May"
"ROBBERY",May 2008,1359,2008,"May"
"ASSAULT",Jun 2008,2425,2008,"Jun"
"BURGLARY",Jun 2008,2147,2008,"Jun"
"CRIMINAL TRESPASS",Jun 2008,930,2008,"Jun"
"MOTOR VEHICLE THEFT",Jun 2008,1645,2008,"Jun"
"NARCOTICS",Jun 2008,3464,2008,"Jun"
"ROBBERY",Jun 2008,1332,2008,"Jun"
"ASSAULT",Jul 2008,2408,2008,"Jul"
"BURGLARY",Jul 2008,2561,2008,"Jul"
"CRIMINAL TRESPASS",Jul 2008,1087,2008,"Jul"
"MOTOR VEHICLE THEFT",Jul 2008,1991,2008,"Jul"
"NARCOTICS",Jul 2008,3850,2008,"Jul"
"ROBBERY",Jul 2008,1477,2008,"Jul"
"ASSAULT",Aug 2008,2384,2008,"Aug"
"BURGLARY",Aug 2008,2372,2008,"Aug"
"CRIMINAL TRESPASS",Aug 2008,1103,2008,"Aug"
"MOTOR VEHICLE THEFT",Aug 2008,1921,2008,"Aug"
"NARCOTICS",Aug 2008,4322,2008,"Aug"
"ROBBERY",Aug 2008,1550,2008,"Aug"
"ASSAULT",Sep 2008,2250,2008,"Sep"
"BURGLARY",Sep 2008,2455,2008,"Sep"
"CRIMINAL TRESPASS",Sep 2008,1079,2008,"Sep"
"MOTOR VEHICLE THEFT",Sep 2008,1658,2008,"Sep"
"NARCOTICS",Sep 2008,3761,2008,"Sep"
"ROBBERY",Sep 2008,1617,2008,"Sep"
"ASSAULT",Oct 2008,2128,2008,"Oct"
"BURGLARY",Oct 2008,2611,2008,"Oct"
"CRIMINAL TRESPASS",Oct 2008,1160,2008,"Oct"
"MOTOR VEHICLE THEFT",Oct 2008,1471,2008,"Oct"
"NARCOTICS",Oct 2008,3888,2008,"Oct"
"ROBBERY",Oct 2008,1698,2008,"Oct"
"ASSAULT",Nov 2008,1714,2008,"Nov"
"BURGLARY",Nov 2008,2314,2008,"Nov"
"CRIMINAL TRESPASS",Nov 2008,994,2008,"Nov"
"MOTOR VEHICLE THEFT",Nov 2008,1287,2008,"Nov"
"NARCOTICS",Nov 2008,3738,2008,"Nov"
"ROBBERY",Nov 2008,1492,2008,"Nov"
"ASSAULT",Dec 2008,1514,2008,"Dec"
"BURGLARY",Dec 2008,2224,2008,"Dec"
"CRIMINAL TRESPASS",Dec 2008,861,2008,"Dec"
"MOTOR VEHICLE THEFT",Dec 2008,1314,2008,"Dec"
"NARCOTICS",Dec 2008,3033,2008,"Dec"
"ROBBERY",Dec 2008,1408,2008,"Dec"
"ASSAULT",Jan 2009,1677,2009,"Jan"
"BURGLARY",Jan 2009,1766,2009,"Jan"
"CRIMINAL TRESPASS",Jan 2009,972,2009,"Jan"
"MOTOR VEHICLE THEFT",Jan 2009,1220,2009,"Jan"
"NARCOTICS",Jan 2009,3681,2009,"Jan"
"ROBBERY",Jan 2009,1274,2009,"Jan"
"ASSAULT",Feb 2009,1634,2009,"Feb"
"BURGLARY",Feb 2009,1540,2009,"Feb"
"CRIMINAL TRESPASS",Feb 2009,816,2009,"Feb"
"MOTOR VEHICLE THEFT",Feb 2009,1112,2009,"Feb"
"NARCOTICS",Feb 2009,3539,2009,"Feb"
"ROBBERY",Feb 2009,973,2009,"Feb"
"ASSAULT",Mar 2009,2029,2009,"Mar"
"BURGLARY",Mar 2009,1894,2009,"Mar"
"CRIMINAL TRESPASS",Mar 2009,1036,2009,"Mar"
"MOTOR VEHICLE THEFT",Mar 2009,1201,2009,"Mar"
